#OTU ID	C002	C003	C007	C010	C011	C012	C018	C021	C024	C042	C048	C052	C054	K100	K105	K106	K108	K113	K119	K124	K125	K301	K304	K306	K309	K316	S010	S020	S030	S050	S080	S100	S110	S120	S130	S150	S180	S200	S210	S220	S240	S260	S280	S290	S320	S330	Y1	Y10	Y11	Y12	Y13	Y14	Y15	Y2	Y3	Y4	Y5	Y6	Y7	Y8	Y9
C010_163865	6	1	17	9	11	8	9	0	0	8	0	0	9	0	0	0	0	0	4	11	0	0	0	0	0	5	8	1	67	11	6	3	1	3	0	0	0	65	0	1	12	21	18	10	0	1	2	1	0	18	7	0	1	1	1	1	4	4	0	6	1
C012_61314	6	0	3	8	3	1	1	0	0	0	2	1	0	0	0	1	2	2	2	0	0	0	0	2	0	1	1	0	4	5	5	3	0	6	0	1	0	7	1	4	2	1	1	5	1	2	0	2	0	1	3	0	3	0	0	0	1	1	0	4	2
C002_157239	14	0	2	0	0	0	0	1	0	1	5	2	0	0	5	0	4	6	1	0	1	5	2	7	0	1	1	0	2	0	2	2	1	0	0	3	4	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	2	2	0	0	2	0	0	2
C002_297328	3	1	2	0	2	0	0	1	0	0	1	1	0	1	0	0	0	4	0	0	2	2	0	1	0	1	0	5	4	6	0	1	0	0	0	0	3	0	0	0	1	1	0	1	0	3	0	2	1	1	9	0	0	2	0	2	2	2	0	3	1
K125_7439	1	0	5	3	3	0	0	1	0	0	1	0	0	0	0	0	0	0	2	2	3	2	1	0	1	2	0	0	0	9	0	0	1	0	0	3	3	4	5	3	2	0	0	3	1	3	0	0	0	0	2	0	7	6	0	1	1	2	0	8	0
C002_51243	5	0	17	0	1	3	7	0	1	0	2	0	2	0	0	0	1	0	4	0	0	0	0	4	4	0	3	0	2	0	2	2	1	1	0	2	2	2	3	5	2	0	1	0	0	1	0	0	0	6	0	0	0	1	0	0	0	0	0	3	0
C042_251885	3	1	18	21	20	3	1	8	3	65	1	19	0	0	13	60	145	58	20	1	0	5	20	26	0	21	36	11	23	10	349	31	119	26	10	9	0	119	31	4	4	3	0	6	18	3	18	13	1	221	35	0	2	12	0	1	7	10	1	297	1
K119_8972	5	1	16	102	3	7	0	63	0	0	43	0	1	0	3	96	114	4	113	9	0	0	35	0	0	0	1	0	1	0	50	6	0	0	0	261	0	0	1	0	0	0	0	2	0	3	0	0	0	1	19	8	1	77	1	3	15	21	3	1	0
C002_253930	6	2	2	5	5	0	7	1	2	2	1	1	1	0	1	0	3	10	1	1	0	1	0	4	4	2	0	4	0	17	3	4	0	4	0	0	5	9	0	4	2	7	0	10	0	14	2	6	0	2	0	0	3	2	0	1	2	0	0	9	0
C010_7537	3	1	1	9	0	0	4	0	0	6	10	0	5	0	0	0	2	2	15	0	0	0	3	0	0	0	11	14	5	0	1	2	2	12	7	10	9	0	0	17	1	4	37	0	0	0	3	0	0	3	0	0	10	5	3	0	44	13	2	0	0
C003_241561	6	31	24	24	3	0	3	1	0	0	21	30	3	0	17	48	46	0	0	0	0	0	44	0	0	0	0	33	0	0	13	1	0	2	0	0	10	16	0	0	12	0	0	41	0	7	1	0	0	0	3	0	0	20	0	0	18	0	0	0	3
C048_67095	2	0	1	0	0	0	0	0	0	1	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C042_151272	6	2	1	1	0	0	11	1	0	26	7	0	5	0	0	0	5	0	1	0	0	0	0	1	0	0	3	0	10	0	4	1	3	0	2	0	0	0	0	5	0	0	185	7	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
K119_80186	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	5	0	1	0	0	0	0	0	2	2	1	0	0	0	0	0	0	0	0	1	0	6	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
C012_60480	15	1	12	0	5	31	1	0	0	10	6	0	7	0	0	0	2	0	19	0	0	3	0	3	4	2	0	1	59	188	17	11	73	43	6	4	12	11	9	61	1	0	29	0	0	2	0	0	1	6	1	0	2	1	0	0	0	0	2	0	0
K301_160024	1	0	5	0	0	0	0	0	0	0	0	1	0	0	0	0	1	2	0	0	0	4	0	0	1	0	2	1	0	1	0	0	1	0	0	8	10	3	0	2	1	0	0	2	0	4	0	0	0	0	2	0	0	9	0	0	0	0	0	2	0
C042_1418	2	1	1	0	3	5	5	0	0	3	3	0	6	0	1	0	1	0	12	0	0	0	0	0	0	1	9	1	0	5	2	9	4	0	0	0	0	0	0	12	1	0	5	1	0	0	0	1	0	0	3	0	6	0	0	0	2	0	0	0	0
K105_128546	4	0	0	0	0	0	11	0	0	0	11	1	2	0	16	1	16	0	0	15	0	0	0	1	8	0	0	12	0	0	2	0	77	5	1	6	0	60	0	0	0	0	0	0	0	0	0	3	0	13	0	0	27	8	5	0	23	62	0	1	0
K316_78053	2	0	12	1	53	2	6	7	15	0	0	0	9	9	2	0	3	1	1	10	713	0	1	21	10	1507	87	0	0	21	13	2	3	23	0	3	327	16	9	6	29	1	126	1	1	209	10	1	217	15	174	34	0	10	66	103	0	2	106	135	3
S120_31572	13	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	23	0	0	3	1	22	0	0	0	0	0	0	0	0	0	0	0	1	0	15	0	0	0	0	0	0	0	0
C003_49517	1	1	0	0	0	2	0	0	0	3	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
C002_346664	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0
K108_75524	11	0	3	0	0	1	1	1	0	16	3	0	0	0	8	3	15	23	21	14	0	0	0	0	0	0	2	0	4	0	36	3	4	8	30	31	0	0	0	0	0	8	0	11	0	9	1	4	0	12	7	0	27	0	0	2	0	0	0	24	2
S200_16269	2	0	0	0	3	0	3	0	0	1	0	0	0	0	0	1	1	1	3	7	0	0	0	0	0	1	0	0	0	3	0	1	0	3	0	13	0	11	0	4	2	0	1	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	4	0
K119_26990	8	0	0	0	0	2	1	0	0	1	2	0	0	0	0	0	4	0	6	0	0	0	1	0	0	0	0	0	8	0	0	0	0	12	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K106_22109	14	0	0	0	0	6	1	0	0	0	7	0	0	0	4	35	0	2	5	0	0	54	23	1	0	4	0	0	0	0	3	0	0	0	1	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	3	0	0	1	11	1	1
C012_32706	2	2	0	0	6	2	2	1	0	0	2	0	0	0	0	0	3	12	6	0	0	2	0	0	0	0	4	27	2	0	20	0	7	1	3	0	0	19	0	13	0	0	3	8	0	0	0	0	0	0	0	0	5	0	0	0	3	0	0	0	0
C042_291489	3	3	4	24	1	2	6	0	2	879	0	3	204	0	3	196	0	7	6	6	0	1	1735	0	922	10	621	4	0	1	0	1	0	1	1188	4330	1	3	1476	0	1415	7	0	1113	1	4	5	1972	6	2101	3000	6	6	6	10	74	2	0	0	3	3
C003_49488	3	3	8	0	0	9	2	3	2	10	8	1	0	0	3	0	5	0	25	6	0	0	0	1	0	1	1	0	1	0	0	0	3	2	3	1	0	17	0	4	3	1	5	10	0	4	0	0	0	0	0	0	2	0	8	0	0	1	1	0	0
C011_86514	3	0	2	0	3	4	0	0	0	6	4	0	1	0	0	0	5	3	2	0	0	0	1	0	0	0	0	2	1	2	1	2	0	0	0	3	0	0	3	2	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0
C048_142791	1	3	4	4	3	0	0	3	1	5	6	0	2	0	0	0	3	0	23	7	0	4	0	2	0	10	1	5	2	0	1	0	2	2	1	0	2	0	0	0	5	1	5	0	0	6	4	8	0	2	1	0	1	0	6	2	2	0	0	3	0
C002_70351	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	9	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0
